,index,username,tweetcreatedts,text,text_length,BERT_processed_text,BERT_processed_text_length,sentiments
0,235,jstinnee,2020-07-08 12:54:41,"candidate jamus lim asked to deny the pap "" a blank cheque "". this phrase isn ' t new , it has been used by sg ' s opposition politicians before . from left : 1 . jbj , wp , 1976 2 . lee siew choh , barisan sosialis , 1976 3 . chiam see tong , sdp , 1984 4 . wong hong toy , wp , 1984",70,"[CLS] candidate jamus lim asked to deny the pap "" a blank cheque "". this phrase isn ' t new , it has been used by sg ' s opposition politicians before . from left : 1 . jbj , wp , 1976 2 . lee siew choh , barisan sosialis , 1976 3 . chiam see tong , sdp , 1984 4 . wong hong toy , wp , 1984",85,negative
1,1373,steelbiimu_,2020-07-07 05:53:31,"pessimist by nature . spouse and i say "" reductio ad jolenum "" and mean "" jump to extravagant worst case "". recent pap bilge also downer . yet : i ' m awed by outpouring of clear - seeing , wide - ranging , humane voices in . reason to feel good abt sg pple if not our political leadership .",62,"[CLS] pessimist by nature . spouse and i say "" reductio ad jolenum "" and mean "" jump to extravagant worst case "". recent pap bilge also downer . yet : i ' m awed by outpouring of clear - seeing , wide - ranging , humane voices in . reason to feel good abt sg pple if not our political leadership .",78,positive
2,1392,acertainjolene,2020-07-07 05:24:40,"pessimist by nature . spouse and i say "" reductio ad jolenum "" and mean "" jump to extravagant worst case "". recent pap bilge also downer . yet : i ' m awed by outpouring of clear - seeing , wide - ranging , humane voices in . reason to feel good abt sg pple if not our political leadership .",62,"[CLS] pessimist by nature . spouse and i say "" reductio ad jolenum "" and mean "" jump to extravagant worst case "". recent pap bilge also downer . yet : i ' m awed by outpouring of clear - seeing , wide - ranging , humane voices in . reason to feel good abt sg pple if not our political leadership .",78,negative
3,1391,bb1syri,2020-07-07 05:25:30,"pessimist by nature . spouse and i say "" reductio ad jolenum "" and mean "" jump to extravagant worst case "". recent pap bilge also downer . yet : i ' m awed by outpouring of clear - seeing , wide - ranging , humane voices in . reason to feel good abt sg pple if not our political leadership .",62,"[CLS] pessimist by nature . spouse and i say "" reductio ad jolenum "" and mean "" jump to extravagant worst case "". recent pap bilge also downer . yet : i ' m awed by outpouring of clear - seeing , wide - ranging , humane voices in . reason to feel good abt sg pple if not our political leadership .",78,negative
4,1384,Sydelenasup,2020-07-07 05:35:20,"pessimist by nature . spouse and i say "" reductio ad jolenum "" and mean "" jump to extravagant worst case "". recent pap bilge also downer . yet : i ' m awed by outpouring of clear - seeing , wide - ranging , humane voices in . reason to feel good abt sg pple if not our political leadership .",62,"[CLS] pessimist by nature . spouse and i say "" reductio ad jolenum "" and mean "" jump to extravagant worst case "". recent pap bilge also downer . yet : i ' m awed by outpouring of clear - seeing , wide - ranging , humane voices in . reason to feel good abt sg pple if not our political leadership .",78,negative
5,659,eisen,2020-07-08 02:53:04,""" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",66,"[CLS] "" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",75,neutral
6,491,Oppsupporter,2020-07-08 06:26:22,""" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",66,"[CLS] "" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",75,neutral
7,644,n_raidahmn,2020-07-08 03:11:35,""" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",66,"[CLS] "" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",75,negative
8,647,syaosakucouple,2020-07-08 03:08:30,""" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",66,"[CLS] "" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",75,neutral
9,470,Distant_Witness,2020-07-08 06:59:43,""" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",66,"[CLS] "" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",75,neutral
10,525,ffawaa,2020-07-08 05:36:01,""" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",66,"[CLS] "" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",75,negative
11,657,jursit,2020-07-08 02:54:22,""" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",66,"[CLS] "" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",75,neutral
12,631,sgelection,2020-07-08 03:32:00,""" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",66,"[CLS] "" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",75,neutral
13,651,sgpoliticswoke,2020-07-08 03:06:53,""" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",66,"[CLS] "" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",75,neutral
14,501,paskeynade,2020-07-08 06:07:47,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
15,388,davidareslaw,2020-07-08 08:54:20,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
16,486,Ceeokok,2020-07-08 06:31:52,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
17,298,Neoogan94,2020-07-08 11:16:37,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,negative
18,563,eisen,2020-07-08 04:45:29,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,negative
19,25,_ctmsrh,2020-07-08 17:40:42,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
20,558,jursit,2020-07-08 04:47:40,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,negative
21,428,ItsHaiqalAfiq,2020-07-08 07:47:03,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
22,539,turtleparading,2020-07-08 05:05:38,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
23,454,HarryScoffin,2020-07-08 07:15:18,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
24,257,youarespeedstar,2020-07-08 12:26:11,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
25,543,Speicherx,2020-07-08 04:59:49,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
26,417,ziqobikai,2020-07-08 07:57:14,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
27,541,AudiKhalid,2020-07-08 05:03:39,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
