,index,username,tweetcreatedts,text,text_length,BERT_processed_text,BERT_processed_text_length,sentiments
0,235,jstinnee,2020-07-08 12:54:41,"candidate jamus lim asked to deny the pap "" a blank cheque "". this phrase isn ' t new , it has been used by sg ' s opposition politicians before . from left : 1 . jbj , wp , 1976 2 . lee siew choh , barisan sosialis , 1976 3 . chiam see tong , sdp , 1984 4 . wong hong toy , wp , 1984",70,"[CLS] candidate jamus lim asked to deny the pap "" a blank cheque "". this phrase isn ' t new , it has been used by sg ' s opposition politicians before . from left : 1 . jbj , wp , 1976 2 . lee siew choh , barisan sosialis , 1976 3 . chiam see tong , sdp , 1984 4 . wong hong toy , wp , 1984",85,negative
1,1373,steelbiimu_,2020-07-07 05:53:31,"pessimist by nature . spouse and i say "" reductio ad jolenum "" and mean "" jump to extravagant worst case "". recent pap bilge also downer . yet : i ' m awed by outpouring of clear - seeing , wide - ranging , humane voices in . reason to feel good abt sg pple if not our political leadership .",62,"[CLS] pessimist by nature . spouse and i say "" reductio ad jolenum "" and mean "" jump to extravagant worst case "". recent pap bilge also downer . yet : i ' m awed by outpouring of clear - seeing , wide - ranging , humane voices in . reason to feel good abt sg pple if not our political leadership .",78,negative
2,470,Distant_Witness,2020-07-08 06:59:43,""" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",66,"[CLS] "" stakes are high for ( workers ' party )... be seen as a referendum on pritam ' s leadership ."" let ' s not forget that in east coast grc , while the stakes are not as high , the election will also be seen as a referendum on the pap ' s choice of heng swee heat as sg ' s 4th pm .",75,neutral
3,25,_ctmsrh,2020-07-08 17:40:42,"in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",62,"[CLS] in 2011 , then - workers ' party chief low thia khiang boldly moved out of hougang to take on the pap in aljunied grc . in 2018 , low made another bold move "" out "" - handing the reins to a younger , less heartland chinese - centric team . this , we will see if it pays off .",73,neutral
4,2,foolluvmaknae,2020-07-08 23:38:18,"2011 : "" beware of ' rojak govt ' if pap loses power , ( lim ) swee say warns "" 2015 : "" no guarantee pap will be in govt after polls : khaw boon wan "" 2020 : "" 3 biggest opposition parties could be ' replacement for the govt ', says chan chun sing "" new election , old scare tactics .",65,"[CLS] 2011 : "" beware of ' rojak govt ' if pap loses power , ( lim ) swee say warns "" 2015 : "" no guarantee pap will be in govt after polls : khaw boon wan "" 2020 : "" 3 biggest opposition parties could be ' replacement for the govt ', says chan chun sing "" new election , old scare tactics .",72,negative
5,15,JoleneStewart_,2020-07-08 19:35:15,"if you ' re gonna vote pap because you ' re afraid that something will be ripped away from you if you don ' t , i ' m truly sorry you ' re feeling that fear but would also like to emphasise this : it ' s * not ok * that we ' re made to feel this way at all in the first place .",68,"[CLS] if you ' re gonna vote pap because you ' re afraid that something will be ripped away from you if you don ' t , i ' m truly sorry you ' re feeling that fear but would also like to emphasise this : it ' s * not ok * that we ' re made to feel this way at all in the first place .",70,negative
6,419,FarezJuraimiCNA,2020-07-08 07:56:37,"peoples voice founder lim tean told me he was optimistic about pv ' s chances in pasir ris - punggol against the pap and the sda . "" i feel very confident . i know we ' re in a three - cornered fight here , i ' m not bothered by that ."" ( photo : anne - marie lim )",62,"[CLS] peoples voice founder lim tean told me he was optimistic about pv ' s chances in pasir ris - punggol against the pap and the sda . "" i feel very confident . i know we ' re in a three - cornered fight here , i ' m not bothered by that ."" ( photo : anne - marie lim )",70,neutral
7,672,azyintl,2020-07-08 02:30:31,"inderjit singh ( ex pap mp ) is spot on : "" most of the manifestos have touched on what each party plans to do ... i hope all parties , including the pap will focus on the more important question of how they will do what they have promised to do "". the how hasn ' t been made clear .",62,"[CLS] inderjit singh ( ex pap mp ) is spot on : "" most of the manifestos have touched on what each party plans to do ... i hope all parties , including the pap will focus on the more important question of how they will do what they have promised to do "". the how hasn ' t been made clear .",70,negative
8,614,chinhon,2020-07-08 04:00:38,"downward trend in social media interest for reflected in interaction stats for wp , pap , psp and sdp from june 22 - july 7 . pm lee ' s fullerton rally gave pap a nice boost on july 6 , but didn ' t go off the charts ( signaling too subtle for the social media crowd ?) 2 / 6",62,"[CLS] downward trend in social media interest for reflected in interaction stats for wp , pap , psp and sdp from june 22 - july 7 . pm lee ' s fullerton rally gave pap a nice boost on july 6 , but didn ' t go off the charts ( signaling too subtle for the social media crowd ?) 2 / 6",69,neutral
9,1596,Medot999,2020-07-07 00:17:39,"pap : "" candidates should not be defined by a single moment ... but judged by their growth throughout their life ."" pap : "" the ivan lim episode is regrettable ... what is important for us is to focus on the key issues ahead - our jobs , our lives and our future ."" also , pap :",59,"[CLS] pap : "" candidates should not be defined by a single moment ... but judged by their growth throughout their life ."" pap : "" the ivan lim episode is regrettable ... what is important for us is to focus on the key issues ahead - our jobs , our lives and our future ."" also , pap :",69,negative
10,421,bikokueh,2020-07-08 07:55:10,"voting for opposition means s ' poreans can ' t "" work together in unity ""? does voting against the pap mean we don ' t want sg to succeed ? does it mean we ' ll be working against sg ' s interests post - election ? sorry esm goh , idk what you ' re trying to say .",61,"[CLS] voting for opposition means s ' poreans can ' t "" work together in unity ""? does voting against the pap mean we don ' t want sg to succeed ? does it mean we ' ll be working against sg ' s interests post - election ? sorry esm goh , idk what you ' re trying to say .",68,negative
11,693,FarezJuraimiCNA,2020-07-08 01:43:09,"dr paul tambyah says his party will work for the good of sg , even with he adds , if pap wins holland - bukit timah , or if pap wins bukit panjang and then we win holland - bukit timah , it doesn ' t matter if we ' re all working for the good of the residents ,",60,"[CLS] dr paul tambyah says his party will work for the good of sg , even with he adds , if pap wins holland - bukit timah , or if pap wins bukit panjang and then we win holland - bukit timah , it doesn ' t matter if we ' re all working for the good of the residents ,",68,neutral
12,1940,chatorageux,2020-07-06 14:23:28,"workers ' party candidate for marine parade grc yee jenn jong : "" the pap has told you ... that only the pap can run this place . my years of participation in the alternative camp tells me otherwise . hougang and aljunied are well - maintained , just like any town in singapore .""",55,"[CLS] workers ' party candidate for marine parade grc yee jenn jong : "" the pap has told you ... that only the pap can run this place . my years of participation in the alternative camp tells me otherwise . hougang and aljunied are well - maintained , just like any town in singapore .""",67,neutral
13,775,Hartonope,2020-07-07 19:39:34,did no one mention how pap didnt dare to take up dr tan cheng bock and dr paul tambyah ' s challenge for a live debate on covid - 19 ? i thought they are very proud of their covid - 19 plans and accused the opposition of having no plans for it ? or is it all lies ?,60,[CLS] did no one mention how pap didnt dare to take up dr tan cheng bock and dr paul tambyah ' s challenge for a live debate on covid - 19 ? i thought they are very proud of their covid - 19 plans and accused the opposition of having no plans for it ? or is it all lies ?,67,negative
14,1953,_calpiss,2020-07-06 14:19:03,"pap candidate for aljunied grc victor lye claimed to have faced "" underhand tactics in aljunied "". that is a serious allegation and i hope to see evidence of it . didn ' t heng swee keat say "" spreading falsehoods is not the right kind of politics ""?",49,"[CLS] pap candidate for aljunied grc victor lye claimed to have faced "" underhand tactics in aljunied "". that is a serious allegation and i hope to see evidence of it . didn ' t heng swee keat say "" spreading falsehoods is not the right kind of politics ""?",66,negative
15,1648,tanchunkiet,2020-07-06 19:44:42,"in 1959 , lim yew hock , who was deeply unpopular for crushing leftist anti - colonial groups and siding with the british , was kicked out because people took a chance with opposition leader lee kuan yew ' s pap . in this specific case , the diff gov did do better ( for a while ).",58,"[CLS] in 1959 , lim yew hock , who was deeply unpopular for crushing leftist anti - colonial groups and siding with the british , was kicked out because people took a chance with opposition leader lee kuan yew ' s pap . in this specific case , the diff gov did do better ( for a while ).",65,negative
16,236,rriizzaannsia,2020-07-08 12:53:57,"goodness , what a headline from st ( again ). reminds me of the 1984 election , when lky said pap candidate for potong pasir mah bow tan had better academic credentials than rival chiam see tong . chiam won , and became its mp for 27 years . it ' s not all about credentials .",57,"[CLS] goodness , what a headline from st ( again ). reminds me of the 1984 election , when lky said pap candidate for potong pasir mah bow tan had better academic credentials than rival chiam see tong . chiam won , and became its mp for 27 years . it ' s not all about credentials .",65,negative
17,246,_eny000,2020-07-08 12:41:09,"i ' ve been wrong my whole life . i ' ve always thought that the was against democracy while the dominant pap was all about the betterment of the people ' s lives . not that the pap does not live up to that , but wp is simply more honest , promising , and not power hungry .",60,"[CLS] i ' ve been wrong my whole life . i ' ve always thought that the was against democracy while the dominant pap was all about the betterment of the people ' s lives . not that the pap does not live up to that , but wp is simply more honest , promising , and not power hungry .",64,negative
18,589,syaosakucouple,2020-07-08 04:28:51,"past contributions shld be acknowledged but it should not be done with a vote . votes are for our future , not our past . if you think that a full pap govt is a future that you want , the vote is yours and i respect it . but i dont believe that you shld vote based on gratitude",60,"[CLS] past contributions shld be acknowledged but it should not be done with a vote . votes are for our future , not our past . if you think that a full pap govt is a future that you want , the vote is yours and i respect it . but i dont believe that you shld vote based on gratitude",64,negative
19,231,nurhaditaha,2020-07-08 12:57:51,"after the pap lost aljunied grc , with two full ministers and a senior minister of state , in the 2011 general election : 1 . singapore did not collapse ; 2 . instead , foreign direct investment grew from $ 665 billion in 2010 , to $ 1 . 27 trillion in 2015 . life went on .",59,"[CLS] after the pap lost aljunied grc , with two full ministers and a senior minister of state , in the 2011 general election : 1 . singapore did not collapse ; 2 . instead , foreign direct investment grew from $ 665 billion in 2010 , to $ 1 . 27 trillion in 2015 . life went on .",64,negative
20,2112,Lallanagraphy,2020-07-06 13:14:16,"if you truly wanted to focus on the crisis , you should have held the elections next year . crisis or not , we will make the pap accountable for the consequences of their actions and policies ( i . e . pofma , reserved president , gerrymandering , grc , elitism , inequality ).",55,"[CLS] if you truly wanted to focus on the crisis , you should have held the elections next year . crisis or not , we will make the pap accountable for the consequences of their actions and policies ( i . e . pofma , reserved president , gerrymandering , grc , elitism , inequality ).",64,negative
21,339,EricssenWen,2020-07-08 10:14:30,"overview i have identified 9 battlegrounds : leans wp : aljunied toss - up : sengkang leans pap : punggol west , east coast , marine parade , marymount , west coast , bukit batok , and bukit panjang . the rest are likely or safe pap seats .",49,"[CLS] overview i have identified 9 battlegrounds : leans wp : aljunied toss - up : sengkang leans pap : punggol west , east coast , marine parade , marymount , west coast , bukit batok , and bukit panjang . the rest are likely or safe pap seats .",64,neutral
22,1303,aw_3264,2020-07-07 07:53:28,"( 2 ) at the end of the day , our benchmark shld be to vote for good , competent pple . and that is based on reflecting who is running in your area , and evaluate . it ' s not about sticking it to pap , or opposing opposition blindly . it is being an educated citizen .",60,"[CLS] ( 2 ) at the end of the day , our benchmark shld be to vote for good , competent pple . and that is based on reflecting who is running in your area , and evaluate . it ' s not about sticking it to pap , or opposing opposition blindly . it is being an educated citizen .",64,negative
23,1081,syaosakucouple,2020-07-07 12:45:56,"i dont get some pap loyalists that are jumping on the "" pap - lite "" thing as an insult like idk if behaving like pap is so bad then why you still voting for pap ? if pap is so good then why is it a problem that opposition are becoming better ?",54,"[CLS] i dont get some pap loyalists that are jumping on the "" pap - lite "" thing as an insult like idk if behaving like pap is so bad then why you still voting for pap ? if pap is so good then why is it a problem that opposition are becoming better ?",64,negative
24,1951,theironicstory,2020-07-06 14:19:38,"i feel rlly bad for those in the precarious grcs like sengkang and east coast . as much that their pap candidates are good , are of calibre , if the opps do not get elected , a lot of sgporeans are really going to be pissed at them .",50,"[CLS] i feel rlly bad for those in the precarious grcs like sengkang and east coast . as much that their pap candidates are good , are of calibre , if the opps do not get elected , a lot of sgporeans are really going to be pissed at them .",63,negative
25,87,Psychedelicorn,2020-07-08 15:27:08,"when jbj won anson in 1981 , the pap said then the singapore electorate was ungrateful , didnt know what was best for us , that we were falling for populists . in 2011 , they said the same about aljunied . in 2020 , they continue to treat us like children .",53,"[CLS] when jbj won anson in 1981 , the pap said then the singapore electorate was ungrateful , didnt know what was best for us , that we were falling for populists . in 2011 , they said the same about aljunied . in 2020 , they continue to treat us like children .",63,negative
26,1398,athena2913,2020-07-07 05:16:00,"pap truck just now blasting out the usual ' please support us ' in not only the 4 official languages , but also , if i ' m not wrong , cantonese , teochew , and hokkien . admittedly , this is the first time i ' ve heard those dialects as part of the broadcast .",57,"[CLS] pap truck just now blasting out the usual ' please support us ' in not only the 4 official languages , but also , if i ' m not wrong , cantonese , teochew , and hokkien . admittedly , this is the first time i ' ve heard those dialects as part of the broadcast .",63,neutral
27,59,kevinmcspadden,2020-07-08 16:05:21,"but yeah , my official is the pap walks away from this election in power , but battered , and lhl sticks around for six months to try and buil a coalition around hsk . i think this goes badly for pap . but , thats just reading the news , i may be way off .",57,"[CLS] but yeah , my official is the pap walks away from this election in power , but battered , and lhl sticks around for six months to try and buil a coalition around hsk . i think this goes badly for pap . but , thats just reading the news , i may be way off .",63,negative
28,1772,razzbabble,2020-07-06 16:04:57,"heng swee keat : "" what would singaporeans think , if they wake up next saturday , to find that the pap has lost four grcs and two smcs ? what would investors and other countries think ?"" singaporeans would hope that he does his new job as a pa grassroots adviser well ?",54,"[CLS] heng swee keat : "" what would singaporeans think , if they wake up next saturday , to find that the pap has lost four grcs and two smcs ? what would investors and other countries think ?"" singaporeans would hope that he does his new job as a pa grassroots adviser well ?",63,negative
29,361,an_ru1,2020-07-08 09:52:59,"are many notable candidates fielded by pap . the prominent figures in the opposition parties are : pritam singh , tan seng bock , dr tambyah , dr chee , lim tean , sylvia lim , jamus lim , nicole seah , raeesah khan ... and few others .",49,"[CLS] are many notable candidates fielded by pap . the prominent figures in the opposition parties are : pritam singh , tan seng bock , dr tambyah , dr chee , lim tean , sylvia lim , jamus lim , nicole seah , raeesah khan ... and few others .",63,neutral
30,1956,kaixax555,2020-07-06 14:17:59,yes i see a lot of opposition support on social media . will this tally to real votes ? probably not . why ? because the fear of the pap still exist . i have friends and family who i know still believe that the pap knows who you vote for even though its not true . they do not -,61,[CLS] yes i see a lot of opposition support on social media . will this tally to real votes ? probably not . why ? because the fear of the pap still exist . i have friends and family who i know still believe that the pap knows who you vote for even though its not true . they do not -,63,negative
31,595,Skiiage,2020-07-08 04:24:36,i ' ll say this : psp representatives have knocked on my door and came up to me while i was having lunch . pap representatives have jammed a flyer in my door and drove around the block in a lorry with a megaphone . in a fair world psp would sweep based on campaigning alone .,57,[CLS] i ' ll say this : psp representatives have knocked on my door and came up to me while i was having lunch . pap representatives have jammed a flyer in my door and drove around the block in a lorry with a megaphone . in a fair world psp would sweep based on campaigning alone .,62,negative
32,384,BenChiaCars,2020-07-08 09:09:24,"( 4 / 4 ) we all know the pap isn ' t going to lose their majority , or even their supermajority , this election . telling people not to support opp parties anyway so as not to "" rock the sampan "" is holding their vote hostage through fear - mongering .",54,"[CLS] ( 4 / 4 ) we all know the pap isn ' t going to lose their majority , or even their supermajority , this election . telling people not to support opp parties anyway so as not to "" rock the sampan "" is holding their vote hostage through fear - mongering .",62,negative
33,945,meepok0315,2020-07-07 14:52:31,"at first you were afraid , you were petrified , kept thinking how you could never live without pap by your side . but then you spent so many nights , thinking how they did you wrong , then you grew strong , you learned how to get along ... you will survive ( with more diversity )",58,"[CLS] at first you were afraid , you were petrified , kept thinking how you could never live without pap by your side . but then you spent so many nights , thinking how they did you wrong , then you grew strong , you learned how to get along ... you will survive ( with more diversity )",62,negative
34,287,syaosakucouple,2020-07-08 11:37:14,""" eric and alvin are no strangers to [ tanjong pagar ]"" - unlike dr koh , a complete stranger to tampines , no experience here at all and need to use "" walking the ground "" as a campaign promise . tampines is really being played for a fool by the pap",53,"[CLS] "" eric and alvin are no strangers to [ tanjong pagar ]"" - unlike dr koh , a complete stranger to tampines , no experience here at all and need to use "" walking the ground "" as a campaign promise . tampines is really being played for a fool by the pap",62,negative
35,36,goldentrack2403,2020-07-08 17:03:54,"interesting that as on , and pap narratives get disrupted , we ' re seeing folksin good and bad faithdownplay social media as illusory and misrepresentative . a rambling thread on the strange , radical , illegible worlds of s ' porean twitter and whatsapp :",46,"[CLS] interesting that as on , and pap narratives get disrupted , we ' re seeing folksin good and bad faithdownplay social media as illusory and misrepresentative . a rambling thread on the strange , radical , illegible worlds of s ' porean twitter and whatsapp :",62,negative
36,777,rdnsrdy,2020-07-07 19:31:28,"feels weird listening to workers ' party candidate for sengkang grc dr jamus lim talk about neighbourhood shops , kopi , and bubble tea ; i was expecting something along the lines of how a pap supermajority would theoretically rupture the space - time continuum . or something .",49,"[CLS] feels weird listening to workers ' party candidate for sengkang grc dr jamus lim talk about neighbourhood shops , kopi , and bubble tea ; i was expecting something along the lines of how a pap supermajority would theoretically rupture the space - time continuum . or something .",61,neutral
37,1120,Mathemagical_,2020-07-07 12:19:18,""" making good gov conditional on a strong mandate prompts the qn , how would pap act if it did not get its way ?... pap implies that it will only put its heart and soul into fixing this crisis of our generation if we show how much we appreciate them .""",52,"[CLS] "" making good gov conditional on a strong mandate prompts the qn , how would pap act if it did not get its way ?... pap implies that it will only put its heart and soul into fixing this crisis of our generation if we show how much we appreciate them .""",60,negative
38,52,stepiong,2020-07-08 16:16:13,""" 1984 was the first time pap didn ' t get 100 % of the seats ( see seat share ), and the vote share decreased substantially . so in 1 june 1988 , grc was introduced ."" "" pap never got less than 93 % of parliament seats and 60 % of votes """,55,"[CLS] "" 1984 was the first time pap didn ' t get 100 % of the seats ( see seat share ), and the vote share decreased substantially . so in 1 june 1988 , grc was introduced ."" "" pap never got less than 93 % of parliament seats and 60 % of votes """,60,negative
39,1375,SGPolithoughts,2020-07-07 05:50:28,"the flip side of the ncmp argument would be that pap politicians have their roots so deeply entrenched into serving the government , that we shouldn ' t worry of losing talent serving the country should pap loses any grc . they will still be around , i ' m certain of it .",54,"[CLS] the flip side of the ncmp argument would be that pap politicians have their roots so deeply entrenched into serving the government , that we shouldn ' t worry of losing talent serving the country should pap loses any grc . they will still be around , i ' m certain of it .",60,negative
40,28,dioryshx,2020-07-08 17:30:15,in the last 24 hours of the i hope the pap retracts the falsehood that by her own admission put down christians and chinese . its a myth that will add to islamophobia . this isnt what the pap stands for so it shouldnt hesitate to fix the record .,50,[CLS] in the last 24 hours of the i hope the pap retracts the falsehood that by her own admission put down christians and chinese . its a myth that will add to islamophobia . this isnt what the pap stands for so it shouldnt hesitate to fix the record .,60,negative
41,1448,sgpoliticswoke,2020-07-07 03:46:20,headline : pm said he will lead the cabinet to ensure sg overcomes covid19 ; to pass a prosperous sg into the hands of new leaders 100 % text on pap lunchtime rally which im not bothered to translate . tweeps can easily google to find full english text for pap rally,52,[CLS] headline : pm said he will lead the cabinet to ensure sg overcomes covid19 ; to pass a prosperous sg into the hands of new leaders 100 % text on pap lunchtime rally which im not bothered to translate . tweeps can easily google to find full english text for pap rally,60,negative
42,1617,BYULSZN,2020-07-06 22:47:52,pap better not win s no point with all your shit candidates this year and youre telling this stupid story to try and be relatable but sorry baby its not fucking happening . at least try ? and be relatable ? no one in this day and age in sg are chasing chickens,53,[CLS] pap better not win s no point with all your shit candidates this year and youre telling this stupid story to try and be relatable but sorry baby its not fucking happening . at least try ? and be relatable ? no one in this day and age in sg are chasing chickens,59,negative
43,626,syaosakucouple,2020-07-08 03:37:48,"pap have a monopoly on ' track records ' - both good and bad . when they tell you to vote based on good track record , what they are saying is to "" ignore all our mistakes "". we should look at all the bad things they had done and ask whether it is acceptable .",57,"[CLS] pap have a monopoly on ' track records ' - both good and bad . when they tell you to vote based on good track record , what they are saying is to "" ignore all our mistakes "". we should look at all the bad things they had done and ask whether it is acceptable .",59,negative
44,1883,199thDan,2020-07-06 14:47:36,"don ' t get how pap candidates are taking credit or announcing "" exciting "" plans for their constituencies when all these have been previously introduced e . g . green spine , cross island mrt , punggol digital district . will these plans change if these mps don ' t get voted in ?",55,"[CLS] don ' t get how pap candidates are taking credit or announcing "" exciting "" plans for their constituencies when all these have been previously introduced e . g . green spine , cross island mrt , punggol digital district . will these plans change if these mps don ' t get voted in ?",59,negative
45,322,liqotinee,2020-07-08 10:43:28,why i say vote for rdu ? yes jurong has tharman in the pap but why has he been silent about this comment made by our future pm ? it just shows his complicity in the statement . a good minister whipped by the party isnt the kind of representation singaporeans need,52,[CLS] why i say vote for rdu ? yes jurong has tharman in the pap but why has he been silent about this comment made by our future pm ? it just shows his complicity in the statement . a good minister whipped by the party isnt the kind of representation singaporeans need,59,negative
